proveedor,ubicación,cuenta,codBarCaja,tipodeDocumento,codBarDocExpediente,codBarDocumento
PENDULUM,102,I1412249463,caja 1-2,177,9801412249451,9801412249451
PENDULUM,102,I1409272710,caja 1-2,177,9801409272710,9801409272710
PENDULUM,102,I1412562190,caja 1-2,177,9801412562190,9801412562190
PENDULUM,102,I9633638803,caja 1-2,225,9000004775520,9000004775520
PENDULUM,102,I9633638803,caja 1-2,177,,
PENDULUM,102,I1401094512,caja 1-2,225,9000007406331,9000007406331
PENDULUM,102,I1406010244,caja 1-2,177,9801406010241,9000004775521
